id,name,album,release_date,popularity,groovy_factor,raw_energy
7K3rmA4f6NEElsxKEOOt8H,Little T&A - Remastered,Tattoo You (2009 Re-Mastered),1981-08-24,45,0.44149,0.34514488000000004
19kAUW6NMzgDHKT19s7782,Lady Jane - Mono Version,Aftermath,1966-04-15,44,0.186,0.018315614719999998
3HNLA3ooLBSudG98ZVUuIZ,Don't Stop,Honk (Deluxe),2019-04-19,44,0.34459799999999996,0.1506251773333333
5HcTLesmMaPr0CkwdbtK0o,Hang Fire - Remastered,Tattoo You (2009 Re-Mastered),1981-08-24,44,0.432879,0.26796896389999997
2ZNEcJ6jJAN9PiN8paKhoK,Angie - Remastered,Goats Head Soup,1973-08-31,44,0.18447,0.045382623
4s8wL4SxEmAEd6XO9mi1Pn,Time Is On My Side - Mono Version / Organ Intro,12 X 5,1964-10-17,44,0.096867,0.05161937106666666
6fLTxkL2wgC40fBM6IIe7r,It's All Over Now - Mono Version,12 X 5,1964-10-17,44,0.458883,0.18671245449999999
49ScE2M6RIqfeHnnP4v94B,No Expectations - 50th Anniversary Edition,Beggars Banquet (50th Anniversary Edition),1968-12-06,44,0.088486,0.025808025833333335
0JTrB3fXGdyGcwxFFECsm1,You Got Me Rocking,Voodoo Lounge (Remastered 2009),1994-07-11,44,0.327153,0.19790735535
4cYixasStbsXGnhyKxHEFN,Out Of Control,Bridges To Babylon (Remastered),1997-09-29,44,0.53053,0.26158636
2iZEOHx7XZGZUglo3gI9a7,2000 Man - Remastered 2017 / Stereo,Their Satanic Majesties Request (50th Anniversary Special Edition / Remastered),1967-12-08,44,0.13144,0.23311942500000002
1XaL1OWGibGlPqLUW9MnCX,Sister Morphine - 2009 Mix,Sticky Fingers (Remastered),1971-04-23,43,0.08611,0.08905560399999998
6OEpSYq8wdqnl01hsoQGQY,Saint Of Me,Bridges To Babylon (Remastered),1997-09-29,43,0.331474,0.07425300375
3pQXptTkIkOQsK3pyYlRbJ,Some Girls - Remastered,Some Girls,1978-06-09,43,0.23937,0.2681076489
6WvgizUMVUdPksmm7BMfnm,I Got The Blues - 2009 Mix,Sticky Fingers (Remastered),1971-04-23,43,0.08795800000000001,0.0421429085
7tDAK4ffhC6ye1dkdObSbR,Like A Rolling Stone - Live / Remastered 2009,Stripped,1995-01-13,43,0.071262,0.8397855695333332
74mpiRPDd2rFeBR1Yl60I3,Ventilator Blues,Exile On Main Street (2010 Re-Mastered),1972-05-12,43,0.48822000000000004,0.31024490130000004
0oM5Z3MGSOieWT6ObRQ2Uj,Slave - Remastered,Tattoo You (2009 Re-Mastered),1981-08-24,43,0.47770799999999997,0.037965045886666667
3eA4BsdUxUqiFQMVzJSA5u,You Can't Always Get What You Want - Remastered 2019,Let It Bleed (50th Anniversary Edition / Remastered 2019),1969-12-05,43,0.17098000000000002,0.06748115240000001
3u28KPrRmJiNC39Fm3tZVe,Shake Your Hips,Exile On Main Street (2010 Re-Mastered),1972-05-12,43,0.285362,0.14097843176666666
2r41JRUZ5Cjcx98ARVI0vo,Almost Hear You Sigh - Remastered,Steel Wheels (Remastered 2009),1989-08-29,43,0.49183200000000005,0.056374691
3Nzr5sukBwt2dOfXFRXX3Z,Ride 'Em On Down,Blue & Lonesome,2016-12-02,43,0.36880799999999997,0.3318284788
5GHKbjIY0gTCqoY5aruDDc,All Down The Line,Exile On Main Street (2010 Re-Mastered),1972-05-12,42,0.426618,0.7241309898666668
7CYSvrgGAee411gyGZ29PA,Start Me Up,Honk (Deluxe),2019-04-19,42,0.613672,0.06868138788000001
