id,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence
2FkBzncOXWo7pnN8oqm7Wx,0.689,0.566,0.795,0.0,0.249,-7.755,0.0498,140.859,0.572
4GOpMcPnnF9mtHNYgUPep6,0.0148,0.247,0.66,0.000286,0.0884,-7.631,0.0369,114.801,0.612
5rBS5AlKXpdb3tJJ2D8QdW,0.278,0.788,0.768,0.000161,0.0654,-7.25,0.0601,100.118,0.852
3NDEunNz7GMb6SkkPYTvd2,0.374,0.53,0.691,0.111,0.29,-5.409,0.0307,117.046,0.581
6zD3VBPn2VNDdmLEg0coPt,0.627,0.531,0.759,7.04e-06,0.351,-10.992,0.0521,120.96,0.888
6bSFXLeYbyVR9jGvcRz6vW,0.354,0.74,0.895,0.402,0.0548,-4.529,0.0415,107.411,0.895
60OdLDvZpHe4kVDYwNtYh9,0.65,0.498,0.728,0.000172,0.114,-7.387,0.0373,174.33,0.609
2h7OfDcrNaHnhHLR9uEnhA,0.382,0.499,0.986,0.913,0.284,-1.871,0.0503,130.597,0.835
08l7M5UpRnffGl0FyuRiQZ,0.157,0.466,0.932,0.00617,0.324,-9.214,0.0429,177.34,0.967
02Y7UtZLh7SbhYsYG5N7Rr,0.105,0.428,0.636,0.000923,0.0865,-6.891,0.033,85.121,0.374
32wMZselVhTIaaE3F9txyJ,0.153,0.586,0.964,2.17e-05,0.688,-3.767,0.0944,138.293,0.61
4EPtqZQeTpMTAzFey8wCIa,0.00171,0.347,0.679,0.00477,0.158,-11.91,0.0466,122.269,0.275
6Urmnpk6flfh0lp9HH3bOS,0.00178,0.651,0.862,0.00856,0.104,-5.871,0.0565,98.013,0.5
0JuW3zVUYjyW5BbtXq2to6,0.572,0.63,0.396,2.65e-05,0.083,-14.73,0.039,88.699,0.604
0QT1jprS8mepNiTNvdVblv,0.0302,0.555,0.956,0.367,0.0753,-2.147,0.0577,121.752,0.933
31YMV7aMItO8jzyc10iRrS,0.00869,0.681,0.633,0.049,0.0848,-9.997,0.0352,129.591,0.954
3hloNY7y2r53Cm3zkR7kZV,0.173,0.694,0.802,0.486,0.152,-11.918,0.0577,130.879,0.903
4cAlWy0jWMtn5AdtZy4dHi,0.384,0.595,0.955,0.0175,0.05,-2.304,0.117,132.653,0.714
6NtmoPmjG21kb1JfoiMMXJ,0.646,0.565,0.95,0.448,0.359,-4.285,0.103,142.27,0.751
7AjHtyU0aLwdqb68uzwRlh,0.262,0.527,0.731,0.00276,0.112,-7.618,0.0668,177.978,0.795
5BquOJwWEEJMGqXsUNWjHu,0.797,0.329,0.658,0.612,0.161,-6.017,0.0351,150.236,0.633
09eg3FGzsZQbZk8qEXhJIA,0.509,0.522,0.891,0.908,0.111,-4.085,0.0322,104.411,0.91
64cSND3LNJY0GeK2zy0QLJ,0.722,0.386,0.316,1.22e-05,0.0862,-9.595,0.0308,83.51,0.191
6dP2cO6pcgyf5XwvDaubQa,0.0831,0.543,0.601,0.0789,0.0314,-9.783,0.0298,118.512,0.811
3hOyB6eLLjeadJD3rIodMd,0.433,0.56,0.7,0.00334,0.17,-7.765,0.0291,116.235,0.85
7B3B9tt6XJQdch3DrbvWC4,0.41,0.417,0.772,0.0282,0.0842,-8.913,0.036,102.325,0.497
5FTPD9wSP9IjYBeivNE7cU,0.155,0.389,0.777,2.62e-06,0.141,-6.534,0.0404,96.902,0.365
3s8JGHAZvZKYUPknCIIkJC,0.215,0.562,0.762,1.05e-06,0.421,-6.06,0.0256,101.922,0.616
7aZB40a3Zydggr8wJf1lhO,0.00934,0.598,0.957,5.36e-05,0.0902,-4.391,0.0451,129.082,0.864
4JUEYZ2yBfHsB1W9yhJmDF,0.0438,0.438,0.558,5.41e-06,0.604,-6.479,0.031,80.602,0.225
4wa7EsaCIc31OoedVvkVz6,0.58,0.636,0.455,0.000523,0.159,-6.493,0.0338,143.853,0.432
0EUuG4wkH0vykpWQJxbDtl,0.575,0.417,0.5,0.0883,0.102,-6.449,0.0263,130.531,0.241
5XXw0UOmMFf919EXBB6hfI,0.129,0.525,0.911,0.00018,0.36,-4.612,0.0562,129.155,0.637
0t1YlU41vKgWiw3CVVuRbH,0.0698,0.62,0.822,0.0752,0.249,-4.097,0.0276,116.069,0.712
0qjCCEKR7Ct3hshyCES99R,0.108,0.357,0.876,0.00355,0.949,-6.596,0.11,155.178,0.617
2BPuGATHtSHLud79E6tOQm,0.688,0.332,0.472,0.000556,0.116,-8.183,0.0424,89.811,0.261
0Wqhgufw1YY63QivQfNUtD,0.136,0.455,0.986,0.0175,0.98,-2.159,0.0993,130.301,0.518
3oxqLl1TcDNYgAaAxct3jK,0.0953,0.604,0.453,1.61e-05,0.142,-8.273,0.0307,126.453,0.422
4FzDrD5KndBVrFaVwZToen,0.237,0.41,0.677,6.44e-06,0.0695,-8.984,0.0454,113.606,0.769
0ZlNwlXfDUh8gxdUOXuc2F,0.301,0.433,0.667,0.0,0.534,-8.707,0.0802,85.883,0.854
294YjFlURvve9qm23KZCqP,0.435,0.627,0.597,0.00734,0.128,-9.095,0.0558,108.286,0.0938
2t95lca5RT63G2J988AorQ,0.455,0.519,0.63,0.367,0.168,-7.518,0.0647,114.416,0.839
5DZPlkknHAi3JxcpMFlJ69,0.203,0.443,0.462,1.22e-06,0.142,-9.74,0.0351,177.096,0.447
7faybsF8gIVvWtAp9hUcI2,0.183,0.337,0.919,0.186,0.286,-3.94,0.0431,114.748,0.525
3vSXV46H3bSmJHX79NV9Zu,0.0431,0.482,0.948,0.369,0.252,-3.389,0.179,172.674,0.644
7hDQerpfE5FgYtVKEVemwl,0.437,0.382,0.997,0.95,0.617,-1.568,0.188,162.428,0.563
7wSVa5dSpjM62zrF0WsMVQ,0.65,0.517,0.781,0.977,0.341,-6.33,0.0405,119.364,0.742
