name,album,release_date,id,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,duration_ms,flagged_for_differences,outlier_feature
Can't You Hear Me Knocking - Live,Sticky Fingers Live At The Fonda Theatre,2017-09-29,0KL4ApWajaaENX9bMIyfOW,0.107,0.336,0.894,0.554,0.956,-3.829,0.0485,144.237,0.668,21,441146,False,instrumentalness
All Down The Line - Live,Ladies & Gentlemen (Live),2017-06-16,7EZyd1QpQA3D5x8KQG4xrq,0.0682,0.311,0.893,0.616,0.385,-5.124,0.0548,148.583,0.423,21,286933,False,instrumentalness
Gotta Get Away - Mono Version,Out Of Our Heads (UK),1965-07-30,6QQ0cZOEDbms1cm9yaP8xF,0.0693,0.666,0.55,0.574,0.142,-8.296,0.0326,112.947,0.699,21,127600,False,instrumentalness
Some Girls - Remastered,Some Girls (Deluxe Version),1978-06-09,27wGhiwP01mXNsS0clLm0U,0.527,0.474,0.938,0.52,0.299,-2.643,0.0898,71.995,0.505,21,276933,False,instrumentalness
Brown Sugar - Live,Havana Moon (Live),2016-11-11,4CZF7KwvFmUUDkl4P9lfYn,0.00207,0.438,0.97,0.598,0.909,-4.286,0.0915,126.516,0.42,21,433033,False,instrumentalness
Dancing With Mr D - Instrumental,Goats Head Soup (Deluxe),2020-09-04,3alcnVj2ubCNEIYr9dftts,0.106,0.479,0.865,0.947,0.0542,-5.182,0.0483,113.555,0.801,21,210893,False,instrumentalness
Jumpin’ Jack Flash - Live,From The Vault: No Security - San Jose 1999 (Live),2018-07-13,6lhANuhEtlfI8tbu7JK9zY,0.139,0.298,0.976,0.738,0.972,-4.159,0.089,136.449,0.379,20,227880,False,instrumentalness
Edward's Thrump Up,Jamming With Edward,1972-01-07,7BwJL2GrnJ2JkJfGgfoCK4,0.226,0.441,0.616,0.911,0.129,-12.812,0.034,120.942,0.787,20,493373,False,instrumentalness
Brown Sugar - Live,A Bigger Bang (Live),2021-07-09,26MGQq2uoqVgbXYTEIzsbT,0.237,0.377,0.982,0.807,0.989,-3.728,0.116,134.148,0.221,20,363493,False,instrumentalness
Can't You Hear Me Knocking - Alternate Version,Sticky Fingers (Super Deluxe),1971-04-23,69sAT74H7DKRDmvh6S0uwE,0.221,0.59,0.773,0.808,0.0763,-6.477,0.0393,149.196,0.777,20,204080,False,instrumentalness
Short And Curlies,It's Only Rock 'N' Roll,1974-10-18,3eozqbjQ3b8ThqmjQFxGZ2,0.368,0.475,0.55,0.624,0.368,-10.302,0.0338,119.165,0.886,20,163666,False,instrumentalness
Jumpin’ Jack Flash - Live,A Bigger Bang (Live),2021-07-09,4eCWyGsccThx7vuykVspby,0.325,0.258,0.988,0.89,0.969,-4.036,0.106,142.035,0.218,20,239053,False,instrumentalness
When The Whip Comes Down - Remastered,Some Girls (Deluxe Version),1978-06-09,0xCgcDZnAiCD35gZkx1wsP,0.382,0.499,0.986,0.913,0.284,-1.871,0.0503,130.597,0.835,20,260959,False,instrumentalness
Let's Spend The Night Together - Live at Wembley Stadium 1982,Tattoo You (Super Deluxe),2021-10-22,1tgevSO1tG0mwuLqwxen19,0.458,0.382,0.959,0.964,0.955,-5.971,0.124,157.371,0.426,20,262040,False,instrumentalness
It Must Be Hell - Remastered,Undercover (2009 Re-Mastered),1983-11-07,6ZdWqDL4XZcKayIARY01gb,0.156,0.602,0.912,0.716,0.351,-4.309,0.0596,114.406,0.726,20,304693,False,instrumentalness
Gotta Get Away - Mono Version,December’s Children (And Everybody’s),1965-12-04,7gV0wgCg7awZ8Bwe99Ruc7,0.0666,0.669,0.572,0.578,0.156,-8.247,0.037,112.932,0.701,20,126653,False,instrumentalness
Pretty Beat Up - Remastered,Undercover (2009 Re-Mastered),1983-11-07,1lJbKjGY6BqP7P7Dg5fdUY,0.0623,0.565,0.951,0.657,0.273,-3.804,0.0393,97.337,0.737,20,244600,False,instrumentalness
Pain In My Heart,"The Rolling Stones, Now!",1965-02-13,2UCbDuiQ0rM74QAl0yvZIo,0.567,0.479,0.591,0.751,0.158,-8.902,0.0435,176.974,0.727,19,131546,False,instrumentalness
I'm Moving On - Live,December’s Children (And Everybody’s),1965-12-04,3QJ5HpjabhvaXnBYcv1p9w,0.00646,0.188,0.871,0.779,0.301,-5.752,0.0573,169.661,0.535,19,133720,False,instrumentalness
Shattered - Live at Wembley Stadium 1982,Tattoo You (Super Deluxe),2021-10-22,2GUGfCkxUubz7arI3nX54i,0.376,0.362,0.985,0.501,0.935,-6.276,0.163,162.353,0.289,19,281066,False,instrumentalness
When The Whip Comes Down - Live at Wembley Stadium 1982,Tattoo You (Super Deluxe),2021-10-22,5EARznSdXjRszJk5WTSFqx,0.194,0.382,0.972,0.959,0.67,-6.821,0.102,79.249,0.436,19,273546,False,instrumentalness
Just My Imagination (Running Away With Me) - Live at Wembley Stadium 1982,Tattoo You (Super Deluxe),2021-10-22,4dYsPUF7CbTr3dypXadEci,0.241,0.314,0.935,0.932,0.944,-6.393,0.0913,117.422,0.61,19,572186,False,instrumentalness
Respectable,Honk (Deluxe),2019-04-19,64dBhm4VRjXWTF0osNP5bt,0.0594,0.452,0.985,0.81,0.0674,-3.588,0.0532,152.156,0.903,19,188466,False,instrumentalness
It's Only Rock 'N' Roll (But I Like It) - Live,A Bigger Bang (Live),2021-07-09,4b9BvuSAs43QEG75K1yZai,0.414,0.353,0.995,0.754,0.876,-4.113,0.141,142.961,0.131,19,268546,False,instrumentalness
Going To A Go-Go - Live at Wembley Stadium 1982,Tattoo You (Super Deluxe),2021-10-22,5qNF2uTdTb1Q3gO4ChnvC7,0.458,0.572,0.932,0.773,0.941,-5.955,0.0671,127.818,0.624,19,220000,False,instrumentalness
Dance (Pt. 1),Emotional Rescue,1980-06-20,5QhGM4Kc7jlT4p9b1Y6BDX,0.333,0.748,0.834,0.518,0.0582,-8.281,0.033,107.428,0.925,19,263200,False,instrumentalness
Midnight Rambler - Live,A Bigger Bang (Live),2021-07-09,1oCKC9PO08c1d9GhRlRtxc,0.495,0.291,0.955,0.566,0.817,-5.177,0.192,144.032,0.255,19,734706,False,instrumentalness
Jumpin' Jack Flash - Live / Remastered 2009,Love You Live (Remastered 2009),1977-09-23,7gsbOwZoDNVgZbkm8sRvxV,0.409,0.246,0.994,0.757,0.987,-3.41,0.228,154.699,0.317,19,242360,False,instrumentalness
All Down The Line - Live,Some Girls: Live In Texas '78,2011-11-21,3lCT9uo4kbt3SANCie6axE,0.0271,0.247,0.979,0.693,0.985,-5.309,0.101,162.637,0.597,19,236626,False,instrumentalness
Respectable - Remastered,Some Girls (Deluxe Version),1978-06-09,33PXyHrkIHxp6PBVPlQGx7,0.123,0.452,0.99,0.884,0.0677,-2.823,0.0524,152.111,0.875,19,187440,False,instrumentalness
Down In The Hole,Emotional Rescue,1980-06-20,1OyurpJ7NEwKlBxHYEvs4u,0.00851,0.306,0.516,0.875,0.325,-11.418,0.0635,187.292,0.274,19,237026,False,instrumentalness
Time Is On My Side - Live,Live 1965: Music From Charlie Is My Darling (Live From England/1965),2012-11-06,6pZflWnn6Mikwm7L2DosQX,0.0206,0.329,0.798,0.933,0.694,-4.926,0.0431,97.839,0.311,19,171266,False,instrumentalness
I Just Want To Make Love To You - Mono Version,England’s Newest Hitmakers,1964-05-30,3FndaFZngYc1whJdHRkevk,0.222,0.658,0.822,0.798,0.359,-8.931,0.1,126.799,0.585,18,137666,False,instrumentalness
"Oh No, Not You Again - Live",A Bigger Bang (Live),2021-07-09,5XqfGdfVyc4jk0ptSPZVkn,0.23,0.359,0.978,0.794,0.979,-4.103,0.147,143.921,0.253,18,269400,False,instrumentalness
Chantilly Lace - Live at Wembley Stadium 1982,Tattoo You (Super Deluxe),2021-10-22,44N2LGPWDdfZ2dTzzO4rld,0.427,0.485,0.952,0.791,0.958,-5.495,0.0605,123.483,0.752,18,251626,False,instrumentalness
Tumbling Dice - Live,A Bigger Bang (Live),2021-07-09,6wCFnrRCdcrf8hGUJpif6Q,0.436,0.33,0.971,0.478,0.984,-4.435,0.129,125.392,0.263,18,290600,False,instrumentalness
Black Limousine - Live at Wembley Stadium 1982,Tattoo You (Super Deluxe),2021-10-22,1RJVKm42E1FDiEHDdRirUK,0.292,0.307,0.963,0.927,0.994,-6.042,0.217,120.546,0.528,18,231400,False,instrumentalness
Twenty Flight Rock - Live at Wembley Stadium 1982,Tattoo You (Super Deluxe),2021-10-22,0qV3okWhZyPsp40aaczoMM,0.299,0.548,0.968,0.872,0.877,-5.737,0.0581,105.267,0.64,18,106120,False,instrumentalness
Neighbours - Live at Wembley Stadium 1982,Tattoo You (Super Deluxe),2021-10-22,2sOpm0AZURgyXGhgy5uQrK,0.351,0.402,0.969,0.977,0.947,-6.204,0.104,92.289,0.379,18,250146,False,instrumentalness
She's So Cold - Live at Wembley Stadium 1982,Tattoo You (Super Deluxe),2021-10-22,3HylUWQsFpoYy8hUGPQeYa,0.219,0.36,0.952,0.673,0.736,-6.579,0.138,168.863,0.618,18,250493,False,instrumentalness
Jumpin' Jack Flash - Live,Some Girls: Live In Texas '78,2011-11-21,0cYj2BqDDlLgmoBkOBZY4q,2.41e-05,0.122,0.989,0.673,0.942,-4.603,0.106,159.883,0.289,18,375240,False,instrumentalness
Highland Fling,Jamming With Edward,1972-01-07,4NbtGIHQR4tExGyfEKoj2W,0.325,0.482,0.707,0.934,0.123,-12.707,0.0262,148.61,0.649,18,257908,False,instrumentalness
Doo Doo Doo Doo Doo (Heartbreaker),Goats Head Soup,1973-08-31,3Dkr0IVXCLmRkYRXAYzTOL,0.0181,0.447,0.537,0.756,0.133,-11.627,0.0282,111.085,0.643,18,206773,False,instrumentalness
Honest I Do,England’s Newest Hitmakers,1964-05-30,4LVJXIr8CiZuj35lvzzA9y,0.153,0.653,0.377,0.693,0.213,-10.707,0.0857,87.527,0.447,17,129786,False,instrumentalness
Down The Road Apiece - Top Gear / 1965,On Air (Deluxe),2017-12-01,42EfCAeyjoVRx4CEoze6CN,0.0419,0.618,0.812,0.809,0.0465,-8.318,0.0598,85.983,0.881,17,121786,False,instrumentalness
Jumpin' Jack Flash - Live at Wembley Stadium 1982,Tattoo You (Super Deluxe),2021-10-22,1Y68wEpLrQAlnBZRY2deRn,0.162,0.227,0.978,0.917,0.986,-6.262,0.103,155.773,0.481,17,361533,False,instrumentalness
"Intro: Excerpt from ""Fanfare For The Common Man"" - Live / Remastered 2009",Love You Live (Remastered 2009),1977-09-23,6Hwt7qupTUF2Qea5fQ7tYY,0.422,0.247,0.999,0.981,0.841,-8.598,0.128,55.581,0.0165,17,83826,False,instrumentalness
Intro - Live,A Bigger Bang (Live),2021-07-09,1ainbI65iGCqgkqi0cJd1E,0.258,0.183,0.967,0.688,0.87,-13.77,0.088,46.525,0.0159,17,130759,False,instrumentalness
Not Fade Away - Live,Voodoo Lounge Uncut (Live),2018-11-16,1EdD9H50BlPO8eHD7oEXFC,0.409,0.393,0.939,0.544,0.965,-8.853,0.271,101.056,0.446,17,258783,False,instrumentalness
Let Me Go - Live at Wembley Stadium 1982,Tattoo You (Super Deluxe),2021-10-22,3tGCxbXINNxHSv1rqIMhOv,0.114,0.286,0.978,0.917,0.903,-6.113,0.135,189.824,0.701,17,245733,False,instrumentalness
Jumpin’ Jack Flash - Live,Steel Wheels Live,2020-09-25,5m96zDBZcwqV52A0CPmXj4,0.00527,0.157,0.977,0.562,0.961,-4.198,0.107,141.473,0.228,17,396080,False,instrumentalness
Hang Fire - Live at Wembley Stadium 1982,Tattoo You (Super Deluxe),2021-10-22,5OOPWKx9NoFQDLOPjfWKzE,0.228,0.197,0.979,0.712,0.993,-5.8,0.0954,171.766,0.57,17,147106,False,instrumentalness
Start Me Up - Live at Wembley Stadium 1982,Tattoo You (Super Deluxe),2021-10-22,4FbMzbRKaa8hTuDUHtLv6A,0.489,0.401,0.986,0.666,0.976,-5.755,0.14,138.949,0.493,17,279866,False,instrumentalness
"Bitch - Live At The Honda Center, Anaheim",Honk (Deluxe),2019-04-19,7FRjOlIq5wes9zoLhQDwWx,0.00765,0.351,0.977,0.627,0.898,-3.308,0.0618,137.389,0.485,17,315880,False,instrumentalness
2120 South Michigan Avenue - Rhythm And Blues / BBC World Service / 1964,On Air (Deluxe),2017-12-01,1E0umkUUHtmrVX7sgNMtTt,0.149,0.591,0.609,0.811,0.119,-10.012,0.036,141.994,0.733,17,227760,False,instrumentalness
"All Down The Line - Live / Forest National Arena, Brussels / 17/10/73",Goats Head Soup (Deluxe),2020-09-04,4wZX9zG3glbRoznqz1uhiI,0.00154,0.239,0.963,0.47,0.795,-4.126,0.0552,83.126,0.664,17,260786,False,instrumentalness
Hate To See You Go,Honk (Deluxe),2019-04-19,3ZhhSS4ROx1S47BSqhRUjf,0.372,0.443,0.825,0.497,0.143,-5.216,0.118,184.656,0.378,17,202373,False,instrumentalness
Had It With You,Dirty Work,1986-03-24,7iEFja3s31vhM0KVKqL3xO,0.39,0.512,0.986,0.59,0.0597,-2.897,0.229,169.018,0.398,17,198266,False,instrumentalness
Key To The Highway - Piano Instrumental/Remastered 2009,Dirty Work (Remastered 2009),1986-03-24,3As7nxoMY2gOMxVdksIU2F,0.994,0.46,0.142,0.827,0.138,-24.408,0.173,154.259,0.444,16,33466,False,instrumentalness
Sad Sad Sad,Steel Wheels,1989-08-29,5ZzhevdZH02TAeuS6vHCaq,0.0192,0.427,0.978,0.569,0.544,-7.296,0.0544,152.285,0.618,16,215600,False,instrumentalness
"Gimme Some Loving - Live From Madison Square Garden, New York/1969",Get Yer Ya-Ya's Out! The Rolling Stones In Concert (40th Anniversary Edition),1970-09-04,1zvR1HuDjsT92fE2BbcWAt,0.782,0.557,0.796,0.812,0.442,-9.312,0.0368,88.698,0.779,16,49960,False,instrumentalness
(I Can't Get No) Satisfaction - Live at Wembley Stadium 1982,Tattoo You (Super Deluxe),2021-10-22,3n7zqQtyyTXtBqNKudGKwO,0.339,0.245,0.965,0.537,0.96,-5.666,0.0615,169.329,0.51,16,362026,False,instrumentalness
Gomper - Mono,Their Satanic Majesties Request (50th Anniversary Special Edition / Remastered),1967-12-08,7ewRh01tlbUl3vBSMaV1Rv,0.757,0.387,0.665,0.714,0.0974,-7.49,0.0347,126.789,0.194,16,310200,False,instrumentalness
"Mercy, Mercy - Yeah Yeah / 1965",On Air (Deluxe),2017-12-01,4EaHhUu7bZATp4W7IAwOqD,0.0495,0.711,0.636,0.674,0.0806,-9.935,0.0457,117.807,0.784,16,174653,False,instrumentalness
Now I've Got A Witness,England’s Newest Hitmakers,1964-05-30,2DLnVXA7SXLu7jagED0yjh,0.038,0.668,0.69,0.909,0.237,-7.794,0.0287,97.697,0.96,16,151813,False,instrumentalness
Lies - Remastered,Some Girls (Deluxe Version),1978-06-09,6362zAWHGgbrQaoeCFZpuO,0.437,0.382,0.997,0.95,0.617,-1.568,0.188,162.428,0.563,16,191266,False,instrumentalness
Fannie Mae - Saturday Club / 1965,On Air (Deluxe),2017-12-01,58lPXUwwQImFwTbxJXcj9k,0.0225,0.543,0.7,0.867,0.108,-8.144,0.0306,142.334,0.944,16,131826,False,instrumentalness
The Last Time - Mono Version,Out Of Our Heads (US Sequence),1965-07-30,2h0AheQNR5WUgpFBBV8WeC,0.14,0.334,0.922,0.849,0.788,-5.248,0.0577,167.806,0.391,16,221533,False,instrumentalness
Rough Justice - Live,A Bigger Bang (Live),2021-07-09,5pCxbLU4VTA064974GKU7y,0.453,0.281,0.993,0.888,0.823,-3.786,0.154,144.554,0.11,16,204226,False,instrumentalness
(I Can't Get No) Satisfaction - Live,A Bigger Bang (Live),2021-07-09,0uyhzYLrea2F9PQNbDWKan,0.241,0.287,0.984,0.907,0.952,-4.119,0.113,142.555,0.112,16,495320,False,instrumentalness
Get Off Of My Cloud - Live,A Bigger Bang (Live),2021-07-09,0pi47jS9mOcEdd5roll4cA,0.455,0.357,0.994,0.855,0.8,-3.642,0.187,136.054,0.146,16,190080,False,instrumentalness
Hitch Hike - Remastered 2002,Out Of Our Heads (UK),1965-07-30,02oaGudlkBJXYqH8LBPxbZ,0.34,0.747,0.835,0.733,0.0281,-7.04,0.0324,123.456,0.963,15,146186,False,instrumentalness
Midnight Rambler - Live,From The Vault: No Security - San Jose 1999 (Live),2018-07-13,6x0uoqrntrFEMxlceTJ7Ns,0.412,0.334,0.936,0.733,0.969,-5.637,0.0859,143.72,0.393,15,733680,False,instrumentalness
Summer Romance,Emotional Rescue,1980-06-20,0qqeOcdodAQuwTsIIejkqP,0.0524,0.359,0.922,0.486,0.297,-8.065,0.106,167.926,0.68,15,195973,False,instrumentalness
I Wanna Be Your Man - Saturday Club / 1964,On Air (Deluxe),2017-12-01,6vQ7eX1j49Bb8hucYXGeL8,0.118,0.512,0.763,0.756,0.0983,-6.923,0.0496,82.189,0.695,15,112746,False,instrumentalness
I Just Want To Make Love To You - Saturday Club / 1964,On Air (Deluxe),2017-12-01,6oAfRCJrtwoaAS8UySiTo7,0.0193,0.511,0.779,0.719,0.273,-7.122,0.0426,125.223,0.752,15,136000,False,instrumentalness
Dancing With Mr D,Goats Head Soup,1973-08-31,6Kr0vqJm3z7TSSSXPEOzYu,0.338,0.581,0.809,0.704,0.0561,-9.05,0.0321,105.625,0.932,15,293093,False,instrumentalness
Off The Hook - Live,Live 1965: Music From Charlie Is My Darling (Live From England/1965),2012-11-06,27E1BXHUR9KgGzUZ4PQPxh,0.0218,0.444,0.933,0.928,0.916,-5.228,0.0733,76.873,0.533,15,147040,False,instrumentalness
Little Red Rooster - Live,Live 1965: Music From Charlie Is My Darling (Live From England/1965),2012-11-06,38v7hBaLB8aYABWXEYBr0U,0.00712,0.44,0.918,0.82,0.767,-5.533,0.0788,115.799,0.436,15,155600,False,instrumentalness
Walking The Dog - Saturday Club / 1964,On Air (Deluxe),2017-12-01,5lDoJcPX7dCfzQW31x8fLP,0.0514,0.692,0.52,0.687,0.137,-11.649,0.0386,126.58,0.695,15,179253,False,instrumentalness
Outro - Star Spangled Banner - Live / Remastered 2009,Still Life,1982-06-01,3HrKFXlEeZBhp5DIZCrUH3,0.865,0.153,0.989,0.941,0.962,-4.348,0.19,134.689,0.0369,15,48266,False,instrumentalness
I'm Alright - Live,Live 1965: Music From Charlie Is My Darling (Live From England/1965),2012-11-06,3YDCIgxHxZYMD3FpK7vDqy,0.159,0.446,0.979,0.668,0.833,-6.229,0.113,117.201,0.299,15,135040,False,instrumentalness
Instrumental 2 - Live,Live At The Checkerboard Lounge,2012-07-09,6AlD6jYja3dMzzWYahm5rS,0.0443,0.517,0.978,0.846,0.882,-7.116,0.13,138.562,0.263,14,263773,False,instrumentalness
Pain In My Heart - Live In Ireland / 1965,Live 1965: Music From Charlie Is My Darling (Live From England/1965),2012-11-06,2oKcd4rsBp4535g7bAtAef,0.187,0.185,0.911,0.883,0.556,-6.811,0.0719,183.61,0.26,14,123506,False,instrumentalness
Start Me Up - Live,From The Vault: No Security - San Jose 1999 (Live),2018-07-13,4wdy9PVShHKMKIsxSvPrxW,0.24,0.44,0.971,0.731,0.914,-4.499,0.0777,131.139,0.698,14,244520,False,instrumentalness
It Must Be Hell,Undercover,1983-11-07,4NzaiJ4seaVHFREN51oTiR,0.16,0.624,0.775,0.714,0.38,-9.074,0.0436,114.447,0.82,14,304266,False,instrumentalness
All The Way Down,Undercover,1983-11-07,49faFxZuSPXOt1GB18oJi0,0.213,0.578,0.861,0.804,0.426,-9.917,0.0578,142.874,0.778,14,192760,False,instrumentalness
Not Fade Away - Live,got LIVE if you want it!,1966-12-10,0M7e8MUFjyFkVLuRmjTiql,0.000866,0.511,0.955,0.86,0.814,-8.749,0.0945,122.436,0.525,14,123680,False,instrumentalness
Where The Boys Go,Emotional Rescue,1980-06-20,1Kl7irmZwjmB89EhxUQbWE,0.251,0.527,0.965,0.758,0.683,-9.225,0.0744,160.65,0.81,14,209133,False,instrumentalness
Everybody Needs Somebody To Love (Finale) - Live,Live 1965: Music From Charlie Is My Darling (Live From England/1965),2012-11-06,0gBs7Dk1Xp7TTltv5U4BWs,0.107,0.225,0.977,0.714,0.746,-5.949,0.33,88.765,0.193,14,246000,False,instrumentalness
Coming Down Again,Goats Head Soup,1973-08-31,73sNL3SolF2KOluj87XHew,0.83,0.464,0.302,0.779,0.103,-13.082,0.0267,73.047,0.374,14,354066,False,instrumentalness
Jumpin’ Jack Flash - Live,Voodoo Lounge Uncut (Live),2018-11-16,0i7uGz7kX7ISHbOWW3CeUB,0.124,0.3,0.947,0.647,0.95,-5.257,0.102,139.709,0.402,14,374585,False,instrumentalness
Ain't That Loving You Baby - Rhythm And Blues / BBC World Service / 1964,On Air (Deluxe),2017-12-01,3NWMRMD2Y04M11IKxmQ4Ew,0.208,0.708,0.636,0.551,0.0777,-8.577,0.154,82.327,0.749,13,115986,False,instrumentalness
Pretty Beat Up,Undercover,1983-11-07,068K0Pa4o6aWZzefuxJ8v3,0.0946,0.581,0.848,0.674,0.209,-9.881,0.0354,97.352,0.734,13,244133,False,instrumentalness
Hide Your Love,Goats Head Soup,1973-08-31,2wT0VXLNER5sWUwVr45rp3,0.676,0.549,0.561,0.823,0.216,-11.234,0.0273,109.596,0.771,13,252440,False,instrumentalness
Key To The Highway - Piano Instrumental,Dirty Work,1986-03-24,5vaIQW6IAjNo5tUoZGTiKE,0.994,0.563,0.141,0.872,0.134,-24.351,0.099,101.793,0.458,12,33466,False,instrumentalness
Can You Hear The Music,Goats Head Soup,1973-08-31,3OgYmmZCH7S22AH2JTr7VV,0.537,0.294,0.565,0.512,0.369,-10.97,0.0317,72.666,0.515,11,331066,False,instrumentalness
Charlie's Intro To Little Red Rooster - Live,Live 1965: Music From Charlie Is My Darling (Live From England/1965),2012-11-06,4HvV7Xp4Qwg0pYQXFILFrC,0.843,0.266,0.961,0.991,0.909,-11.914,0.335,69.859,0.0321,11,32946,False,instrumentalness
I'm Moving On - Live,Live 1965: Music From Charlie Is My Darling (Live From England/1965),2012-11-06,69Itw6gU1AbVONAl78RLlI,0.00343,0.124,0.917,0.945,0.62,-4.829,0.093,163.352,0.304,11,148560,False,instrumentalness
Ventilator Blues,Exile On Main Street (Bonus Track Version),1972-05-12,0l8fJO050thh71O5vZdBzE,0.6,0.618,0.678,0.723,0.501,-5.199,0.0316,133.453,0.79,8,204573,False,instrumentalness
Jumpin' Jack Flash - Live,Get Yer Ya Yas Out,1970-09-04,2YCXpcpj2DFEbT9P3GnQnZ,0.0817,0.425,0.867,0.64,0.974,-11.277,0.0494,137.754,0.657,7,242626,False,instrumentalness
"Paint It Black - Live At Olympic Stadium, Barcelona, Spain / 1990",Flashpoint,1991-04-02,35f2GChoxechEBtARjjJ7X,0.0144,0.283,0.927,0.793,0.985,-7.551,0.0724,160.68,0.37,7,242306,False,instrumentalness
Happy,Exile On Main Street (Bonus Track Version),1972-05-12,2fDudMczskgIRmjGWoMTC0,0.361,0.555,0.897,0.94,0.536,-3.469,0.0293,131.712,0.965,7,184626,False,instrumentalness
Rip This Joint,Exile On Main Street (Bonus Track Version),1972-05-12,11z543x5tM4U0H27bxALNJ,0.118,0.548,0.952,0.837,0.301,-2.958,0.0422,98.04,0.906,7,143293,False,instrumentalness
All Down The Line,Exile On Main Street (Bonus Track Version),1972-05-12,4EbFfWTaD6itVk7CRNuLpX,0.39,0.519,0.973,0.978,0.784,-3.044,0.0562,140.221,0.822,7,229493,False,instrumentalness
"Not Fade Away - Live In Lisbon, Portugal / 1995",Stripped,1995-01-13,58lFbyJL8Jv22av1DBjFY9,0.142,0.664,0.796,0.466,0.461,-8.985,0.0309,95.447,0.969,7,186240,False,instrumentalness
"Start Me Up - Live At Death Valley Stadium, South Carolina, USA / 1989",Flashpoint,1991-04-02,7K6bQLrm4IisLly122cNRW,0.138,0.548,0.988,0.522,0.986,-5.896,0.0629,132.508,0.826,7,234106,False,instrumentalness
Jumpin' Jack Flash - Live,Love You Live (Remastered),1977-09-23,255l1sUvc6IJOMOjZ1fuTd,0.324,0.27,0.98,0.708,0.986,-7.661,0.184,154.983,0.358,6,242600,False,instrumentalness
Shake Your Hips,Exile On Main Street (Bonus Track Version),1972-05-12,72Wm82ZBM0t5Det0o11Jya,0.69,0.374,0.787,0.831,0.203,-7.054,0.0617,180.496,0.763,6,179000,False,instrumentalness
Susie Q,12 x 5,1964-10-17,0AtZ9UuJXT6mXU41sx3iee,0.0396,0.506,0.773,0.689,0.226,-9.034,0.0335,80.84,0.967,6,110960,False,instrumentalness
"Street Fighting Man - Live At Twickenham, England / 2003",Live Licks,2004-11-01,5ukQj9oDlYn4mvYDk6ph6P,0.0556,0.236,0.987,0.534,0.988,-3.613,0.197,143.969,0.173,6,223466,False,instrumentalness
(I Can't Get No) Satisfaction - Saturday Club / 1965,On Air,2017-12-01,1CEXp91Noj1h1lHBDP7xkQ,0.00101,0.649,0.744,0.616,0.0758,-8.279,0.0279,136.687,0.77,6,226880,False,instrumentalness
Let It Loose,Exile On Main Street (Bonus Track Version),1972-05-12,4dcrRMhIb5lm9dIQ8Wfjos,0.869,0.352,0.656,0.8,0.221,-5.721,0.0289,76.121,0.363,5,317173,False,instrumentalness
"Intro: Excerpt From ""Fanfare For The Common Man"" - Live",Love You Live (Remastered),1977-09-23,3XMThHmCx14P8Kyr5rt8vf,0.248,0.107,0.995,0.966,0.77,-13.046,0.0821,169.789,0.0187,5,83666,False,instrumentalness
Tumbling Dice,Exile On Main Street (Bonus Track Version),1972-05-12,15rhIoRad6E7AIqnoS7X49,0.5,0.615,0.91,0.511,0.281,-4.248,0.0347,111.013,0.77,5,226333,False,instrumentalness
Torn And Frayed,Exile On Main Street (Bonus Track Version),1972-05-12,19oI9dRZC48Rd8TCnmNFMI,0.664,0.454,0.766,0.904,0.594,-3.862,0.0272,90.677,0.776,5,257240,False,instrumentalness
I Just Want To See His Face,Exile On Main Street (Bonus Track Version),1972-05-12,04LslKJrIMBfvFdcHaZFYX,0.689,0.654,0.542,0.584,0.204,-14.696,0.0419,78.015,0.877,4,172626,False,instrumentalness
Street Fighting Man - Live,Get Yer Ya Yas Out,1970-09-04,2OHYAz34KXZGyNdj3pMjD2,0.000207,0.275,0.86,0.779,0.937,-8.33,0.0345,134.944,0.596,4,243506,False,instrumentalness
Turd On The Run,Exile On Main Street (Bonus Track Version),1972-05-12,3MCzqwpG9aIo810TVmYXfG,0.65,0.517,0.781,0.977,0.341,-6.33,0.0405,119.364,0.742,4,157173,False,instrumentalness
Stop Breaking Down,Exile On Main Street (Bonus Track Version),1972-05-12,6bA3OlUTsonFP7skcDy1Xt,0.509,0.522,0.891,0.908,0.111,-4.085,0.0322,104.411,0.91,4,274773,False,instrumentalness
Gomper,Their Satanic Majesties Request,1967-12-08,7p9Iqp5RIeyytctcTcnXAL,0.748,0.369,0.535,0.609,0.158,-12.389,0.0359,127.239,0.263,4,308840,False,instrumentalness
Title 5,Exile On Main Street (Bonus Track Version),1972-05-12,7xdatW3vTtUVz8EyacuNE4,0.473,0.466,0.831,0.831,0.322,-7.849,0.0343,95.548,0.885,4,107426,False,instrumentalness
Little Queenie - Live,Get Yer Ya Yas Out,1970-09-04,59E1QUCIcKkRgIM2X9RWqa,0.213,0.508,0.763,0.838,0.843,-9.501,0.0402,124.948,0.962,4,273133,False,instrumentalness
The Spider And The Fly - Yeah Yeah / 1965,On Air,2017-12-01,74zFAG85kiVy31xUqowR9D,0.0301,0.683,0.633,0.782,0.109,-10.846,0.109,111.757,0.892,4,194160,False,instrumentalness
"Brown Sugar - Live At Stadia Delle Alpi, Turin, Italy / 1990",Flashpoint,1991-04-02,17SUs2sg8AI9dLrmvCq9CR,0.0386,0.47,0.978,0.498,0.958,-6.185,0.0673,141.405,0.584,4,250440,False,instrumentalness
