name,album,release_date,id,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,duration_ms,flagged_for_differences,outlier_feature
Let It Loose,Exile On Main Street (2010 Re-Mastered),1972-05-12,2u63axjx9VKmFfQNqmpi8a,0.869,0.352,0.656,0.8,0.221,-5.721,0.0289,76.121,0.363,42,317173,False,instrumentalness
100 Years Ago - Remastered,Goats Head Soup (Remastered 2009),1973-08-31,58TvHfaC4Hvf8IfkxT9BFq,0.732,0.409,0.799,0.765,0.644,-4.333,0.0483,124.334,0.624,42,238133,False,instrumentalness
Not Fade Away - Mono Version,England’s Newest Hitmakers,1964-05-30,0C7w4XnkIGu11MpNWbiTLB,0.00661,0.75,0.826,0.63,0.153,-9.992,0.0472,113.294,0.896,41,107720,False,instrumentalness
Torn And Frayed,Exile On Main Street (2010 Re-Mastered),1972-05-12,5SiCTf5r1cVjQXAXB2StpS,0.664,0.454,0.766,0.904,0.594,-3.862,0.0272,90.677,0.776,41,257240,False,instrumentalness
Tumbling Dice,Honk (Deluxe),2019-04-19,6GpoY3iuHJY7fcyonia60B,0.455,0.617,0.905,0.578,0.289,-4.585,0.0351,110.957,0.787,41,226240,False,instrumentalness
Happy,Exile On Main Street (2010 Re-Mastered),1972-05-12,0rucXTNGt4BHpAjNR5d0UF,0.361,0.555,0.897,0.94,0.536,-3.469,0.0293,131.712,0.965,41,184626,False,instrumentalness
(I Can't Get No) Satisfaction - Saturday Club / 1965,On Air (Deluxe),2017-12-01,2aBM9gLAhJgaUIo7HVZ75j,0.00101,0.649,0.744,0.616,0.0758,-8.279,0.0279,136.687,0.77,41,226880,False,instrumentalness
Hate To See You Go,Blue & Lonesome,2016-12-02,0EJCZM5mVoJjA1MxcoZE6O,0.399,0.418,0.828,0.669,0.146,-5.173,0.122,184.436,0.376,41,200786,False,instrumentalness
When The Whip Comes Down - Remastered,Some Girls,1978-06-09,2h7OfDcrNaHnhHLR9uEnhA,0.382,0.499,0.986,0.913,0.284,-1.871,0.0503,130.597,0.835,40,260959,False,instrumentalness
Stupid Girl,Aftermath,1966-04-15,3hloNY7y2r53Cm3zkR7kZV,0.173,0.694,0.802,0.486,0.152,-11.918,0.0577,130.879,0.903,39,175386,False,instrumentalness
Winter - Remastered,Goats Head Soup (Remastered 2009),1973-08-31,5BquOJwWEEJMGqXsUNWjHu,0.797,0.329,0.658,0.612,0.161,-6.017,0.0351,150.236,0.633,38,329400,False,instrumentalness
Stop Breaking Down,Exile On Main Street (2010 Re-Mastered),1972-05-12,09eg3FGzsZQbZk8qEXhJIA,0.509,0.522,0.891,0.908,0.111,-4.085,0.0322,104.411,0.91,38,274773,False,instrumentalness
Lies - Remastered,Some Girls,1978-06-09,7hDQerpfE5FgYtVKEVemwl,0.437,0.382,0.997,0.95,0.617,-1.568,0.188,162.428,0.563,37,191266,False,instrumentalness
Turd On The Run,Exile On Main Street (2010 Re-Mastered),1972-05-12,7wSVa5dSpjM62zrF0WsMVQ,0.65,0.517,0.781,0.977,0.341,-6.33,0.0405,119.364,0.742,37,157173,False,instrumentalness
I Just Want To See His Face,Exile On Main Street (2010 Re-Mastered),1972-05-12,22OTrlQy1sXdtdo1VgDUZb,0.689,0.654,0.542,0.584,0.204,-14.696,0.0419,78.015,0.877,36,172626,False,instrumentalness
Tumbling Dice,Exile On Main Street (Deluxe Version),1972-05-12,6DjtOcS3xQO8LETk8O4qgE,0.5,0.615,0.91,0.511,0.281,-4.248,0.0347,111.013,0.77,36,226333,False,instrumentalness
It Hurts Me Too,Jamming With Edward,1972-01-07,5lgfWxatYUKXvQEE1oTGDE,0.673,0.462,0.261,0.629,0.126,-14.986,0.0545,168.166,0.405,35,314373,False,instrumentalness
Sympathy For The Devil - Live,Get Yer Ya-Ya's Out! The Rolling Stones In Concert (40th Anniversary Edition),1970-09-04,3VGzWMIxl4zuArW043WSGf,0.0163,0.587,0.833,0.581,0.851,-7.331,0.0683,112.5,0.748,35,411866,False,instrumentalness
Dancing With Mr. D,Goats Head Soup (Remastered 2009),1973-08-31,1o1pQLvKMNqkeLYWGrlA4d,0.562,0.564,0.924,0.649,0.403,-3.585,0.0345,106.022,0.903,35,292360,False,instrumentalness
"Have You Seen Your Mother, Baby, Standing In The Shadow? - Mono Version",Flowers,1967-06-26,31vgSRfK5YOGSCAfj6zPAS,0.283,0.373,0.834,0.769,0.235,-5.49,0.0366,100.54,0.486,34,154000,False,instrumentalness
I Just Want To Make Love To You - Mono Version,The Rolling Stones,1964-04-16,7j96wehhMtN0fkVvFhD8Ix,0.219,0.657,0.825,0.845,0.354,-8.94,0.098,126.817,0.582,34,137666,False,instrumentalness
Commit A Crime,Blue & Lonesome,2016-12-02,5hWH3pUZccd9fiDvR19GJl,0.23,0.563,0.802,0.667,0.534,-4.496,0.0311,124.123,0.777,33,218306,False,instrumentalness
Concert Intro Music - Live,Licked Live In NYC,2022-06-10,2IEkywLJ4ykbhi1yRQvmsT,0.0824,0.463,0.993,0.996,0.932,-12.913,0.11,118.001,0.0302,33,48640,False,instrumentalness
Paint It Black - Live / Remastered 2009,Flashpoint,1991-04-02,2EbjXvnFwgt4Td3xKZZzTb,0.0128,0.267,0.962,0.689,0.988,-3.838,0.117,160.804,0.347,33,241840,False,instrumentalness
Susie Q,12 X 5,1964-10-17,52A8QH0MF14J9gcJbN1tIt,0.0333,0.506,0.762,0.69,0.211,-9.059,0.0345,80.84,0.967,32,110986,False,instrumentalness
One More Try - Remastered 2002,Out Of Our Heads,1965-07-30,31cv3fhKrFy6UTrWIY5mSD,0.0357,0.539,0.802,0.526,0.303,-9.484,0.0561,177.9,0.94,32,118013,False,instrumentalness
Start Me Up - Live / Remastered 2009,Flashpoint,1991-04-02,0SbFvgWkzS01OELImAPHyI,0.163,0.515,0.994,0.62,0.99,-2.263,0.0843,132.773,0.794,32,233493,False,instrumentalness
Hide Your Love - Remastered,Goats Head Soup (Remastered 2009),1973-08-31,2yDQ8m6Fhyxw7Bwi7l7ztt,0.824,0.527,0.752,0.757,0.229,-5.262,0.0298,109.572,0.745,32,251826,False,instrumentalness
100 Years Ago,Goats Head Soup,1973-08-31,0QkA9199IRH8RA9A5tnhfM,0.586,0.4,0.642,0.619,0.53,-9.39,0.0352,105.139,0.604,32,239040,False,instrumentalness
Can't You Hear Me Knocking - Alternate Version,Sticky Fingers (Deluxe),1971-04-23,76v9ncy3YiQhe6oJPyR5YB,0.221,0.59,0.773,0.808,0.0763,-6.477,0.0393,149.196,0.777,32,204080,False,instrumentalness
Silver Train - Remastered,Goats Head Soup (Remastered 2009),1973-08-31,74T1xZpCHhxasI1u8d7Zq2,0.349,0.41,0.94,0.762,0.635,-3.034,0.0417,147.623,0.804,32,266266,False,instrumentalness
Rip This Joint,Exile On Main Street (Deluxe Version),1972-05-12,5F5UNt3WBzmUJ3irvfAi8w,0.118,0.548,0.952,0.837,0.301,-2.958,0.0422,98.04,0.906,32,143293,False,instrumentalness
Coming Down Again - Remastered,Goats Head Soup (Remastered 2009),1973-08-31,7wvv3OLPrX0pENjcDDLLbS,0.867,0.458,0.427,0.915,0.11,-7.993,0.0247,71.514,0.36,32,354173,False,instrumentalness
Happy,Honk (Deluxe),2019-04-19,34OVMKNbZGdYT04LRMx5w9,0.328,0.552,0.894,0.938,0.515,-3.835,0.0292,131.71,0.968,32,185933,False,instrumentalness
Hitch Hike - Remastered 2002,Out Of Our Heads,1965-07-30,46kq7eoX26e9MdhDwDmcye,0.312,0.745,0.841,0.631,0.0325,-6.952,0.0329,123.535,0.961,31,145640,False,instrumentalness
Torn And Frayed,Exile On Main Street (Deluxe Version),1972-05-12,6dE1etqLwt5GUUBVQdIgBB,0.664,0.454,0.766,0.904,0.594,-3.862,0.0272,90.677,0.776,31,257240,False,instrumentalness
All The Rage,Goats Head Soup (Deluxe),2020-09-04,6rPmU6mXAwGVhnYgEU0kCg,0.0176,0.544,0.876,0.665,0.063,-4.33,0.0362,133.026,0.907,31,251173,False,instrumentalness
